last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.57,2,65,3,0,1,0,support,low
0.84,6,279,2,0,1,0,support,low
0.77,6,268,3,0,1,0,technical,low
0.58,1,127,4,0,1,0,technical,low
1.0,6,202,5,0,1,0,technical,low
0.85,4,207,4,0,1,0,management,medium
0.91,8,367,4,0,1,0,IT,medium
0.82,6,255,4,0,1,0,IT,medium
0.42,2,164,3,0,1,0,IT,medium
1.0,6,291,7,0,1,0,IT,medium
0.86,6,183,4,0,1,0,IT,medium
0.53,3,168,4,0,1,0,product_mng,medium
1.0,5,273,6,0,1,0,product_mng,medium
0.9,6,262,4,1,1,0,product_mng,medium
0.42,2,140,4,0,1,0,product_mng,medium
1.0,2,357,2,0,1,0,IT,medium
0.95,4,309,4,0,1,0,product_mng,medium
0.49,2,109,5,0,1,0,product_mng,high
1.0,8,289,4,0,1,0,product_mng,low
0.66,7,291,5,0,1,0,product_mng,medium
0.89,7,308,4,0,1,0,product_mng,medium
0.84,5,319,3,0,1,0,product_mng,medium
0.5,1,165,3,0,1,0,marketing,medium
0.57,3,109,2,0,1,0,sales,low
0.32,1,187,4,0,1,0,accounting,low
0.51,2,123,4,0,1,0,support,low
0.53,2,130,3,0,1,0,technical,low
0.77,4,118,4,0,1,1,management,low
0.79,4,277,6,0,1,0,marketing,low
0.67,6,282,5,0,1,0,marketing,low
0.81,4,282,7,0,1,0,marketing,low
0.95,5,217,6,0,1,0,sales,low
0.49,1,69,3,0,1,0,sales,low
0.51,3,101,3,0,1,0,sales,low
0.85,6,248,3,0,1,0,sales,low
0.51,1,121,4,0,1,0,sales,low
1.0,4,269,5,0,1,0,sales,low
0.4,2,162,2,0,1,0,sales,low
0.51,3,173,4,0,1,0,sales,low
0.78,6,291,4,0,1,0,sales,low
0.33,2,137,2,0,1,0,sales,low
0.81,7,266,4,0,1,0,sales,low
0.87,6,278,4,0,1,0,sales,low
0.97,7,209,4,0,1,0,sales,low
0.97,6,178,8,0,1,0,sales,medium
0.35,1,148,2,0,1,0,sales,medium
0.47,3,141,4,0,1,0,sales,medium
0.42,1,168,2,0,1,0,sales,medium
0.84,8,283,3,0,1,0,sales,medium
0.5,1,96,3,0,1,0,sales,medium
0.51,8,242,8,0,1,0,accounting,medium
1.0,6,263,6,0,1,0,accounting,medium
0.52,2,170,3,0,1,0,accounting,medium
0.9,3,214,3,0,1,0,hr,medium
0.48,3,150,3,0,1,0,hr,medium
0.24,2,188,1,0,1,0,hr,medium
0.85,8,258,6,0,1,0,hr,high
0.53,2,127,3,0,1,0,technical,low
1.0,4,273,5,0,1,0,technical,medium
0.98,5,221,5,0,1,0,technical,medium
0.52,1,146,5,0,1,0,technical,medium
0.68,4,333,2,0,1,0,technical,medium
0.7,6,265,4,0,1,0,technical,low
0.71,2,140,5,0,1,0,technical,low
0.55,1,102,3,0,1,0,technical,low
0.71,6,99,2,1,1,0,technical,low
0.35,1,132,1,0,1,0,technical,low
1.0,4,253,6,0,1,0,technical,low
0.67,7,289,5,1,1,0,support,low
0.56,3,152,4,0,1,0,support,low
1.0,6,310,3,0,1,0,support,low
0.37,2,181,3,0,1,0,support,low
0.82,3,198,4,0,1,0,support,low
0.83,6,256,5,0,1,0,support,low
0.39,2,98,4,0,1,0,support,low
0.64,5,270,6,0,1,0,support,low
0.58,2,130,3,0,1,0,support,low
0.87,4,191,7,0,1,0,support,low
0.57,1,147,2,0,1,0,support,low
0.39,2,199,3,0,1,0,technical,low
1.0,7,186,4,0,1,0,technical,low
0.75,8,292,5,1,1,0,technical,low
0.44,2,156,3,0,1,0,management,low
1.0,5,224,2,0,1,0,IT,low
0.72,5,308,6,0,1,0,IT,low
0.99,7,190,5,0,1,0,IT,low
0.69,2,187,2,0,1,0,IT,low
0.61,5,273,4,0,1,0,IT,low
0.49,1,126,1,0,1,0,product_mng,low
1.0,4,260,4,0,1,0,product_mng,low
0.55,2,111,5,0,1,0,product_mng,low
0.77,3,201,4,0,1,0,product_mng,low
0.71,5,250,4,0,1,0,IT,low
0.94,4,290,4,1,1,0,marketing,low
0.54,3,189,3,0,1,0,marketing,low
0.94,6,202,5,0,1,0,marketing,low
0.6,3,218,4,0,1,0,marketing,low
0.44,2,143,3,0,1,0,marketing,low
0.55,1,165,4,0,1,0,marketing,low
0.52,3,109,2,0,1,0,sales,low
0.71,5,350,3,0,1,0,accounting,low
1.0,5,247,4,0,1,0,support,low
0.98,6,345,3,0,1,0,technical,low
0.36,3,179,3,0,1,0,management,low
0.53,1,179,3,0,1,0,marketing,low
0.83,7,278,4,0,1,0,marketing,low
1.0,4,236,4,0,1,0,marketing,low
0.65,2,126,3,0,1,0,sales,low
0.79,2,270,6,0,1,0,sales,low
1.0,7,272,6,0,1,0,sales,low
0.89,7,333,2,0,1,0,sales,low
0.65,1,168,3,0,1,0,sales,low
0.77,4,72,4,0,1,0,sales,low
0.47,2,182,5,0,1,0,sales,low
0.48,3,191,3,0,1,0,sales,low
0.88,2,246,7,0,1,0,sales,low
0.36,2,172,3,0,1,1,sales,low
0.77,9,274,4,0,1,0,sales,low
0.92,5,306,4,0,1,0,sales,low
0.56,2,261,4,0,1,0,sales,low
0.84,6,181,2,0,1,0,sales,low
0.48,3,150,4,0,1,0,sales,low
0.67,2,125,3,0,1,0,sales,medium
0.48,2,134,4,0,1,0,sales,medium
1.0,6,403,6,0,1,0,sales,medium
0.54,3,122,3,0,1,0,sales,medium
0.74,6,252,5,0,1,0,accounting,medium
0.86,3,234,6,0,1,0,accounting,medium
0.86,6,265,5,0,1,0,accounting,medium
0.52,1,170,3,0,1,0,hr,medium
0.55,2,152,3,0,1,0,hr,medium
0.91,6,297,4,0,1,0,hr,medium
0.45,3,179,2,0,1,0,hr,medium
0.45,3,180,4,0,1,0,technical,medium
0.33,2,150,5,0,1,0,technical,high
0.75,7,229,6,0,1,0,technical,low
0.97,3,255,7,1,1,0,technical,medium
0.94,2,238,6,0,1,0,technical,medium
0.67,6,250,4,0,1,0,technical,medium
0.97,5,259,6,0,1,0,technical,medium
0.85,6,330,3,0,1,0,technical,low
0.43,7,290,3,0,1,0,technical,low
0.93,6,279,3,0,1,0,technical,low
0.9,7,242,4,0,1,0,technical,low
0.8,6,263,5,0,1,0,support,low
0.86,6,280,6,0,1,0,support,low
0.57,3,144,3,0,1,0,support,low
1.0,6,126,6,0,1,0,support,low
1.0,5,255,4,0,1,0,support,low
0.73,6,246,4,0,1,0,support,low
0.39,2,131,3,0,1,0,support,low
1.0,6,254,4,0,1,0,support,low
0.93,4,253,5,0,1,0,support,low
0.56,2,143,5,0,1,0,support,low
0.98,4,189,5,0,1,0,support,low
0.53,2,120,3,0,1,0,technical,low
0.64,5,278,2,0,1,0,technical,low
1.0,5,222,4,0,1,0,technical,low
0.54,3,131,3,0,1,0,management,low
0.49,3,176,3,0,1,0,IT,low
0.6,2,137,1,0,1,0,IT,low
0.39,3,203,2,0,1,0,IT,low
0.95,4,212,6,0,1,0,IT,low
0.47,2,206,3,0,1,0,IT,low
0.88,5,296,5,0,1,0,product_mng,low
1.0,7,283,4,0,1,0,product_mng,low
0.28,2,175,3,0,1,0,product_mng,low
0.59,3,139,4,0,1,0,product_mng,low
0.71,4,287,5,0,1,0,IT,low
0.5,1,143,4,0,1,0,accounting,low
1.0,4,213,6,0,1,0,accounting,low
0.47,2,50,3,0,1,0,hr,low
0.41,2,140,3,0,1,0,hr,low
0.86,5,246,4,0,1,0,hr,low
1.0,5,286,6,0,1,0,marketing,low
0.38,2,160,4,0,1,0,marketing,low
1.0,5,290,6,0,1,0,sales,low
0.84,6,228,4,0,1,0,accounting,low
0.48,2,122,3,0,1,0,support,low
0.83,4,307,3,0,1,0,technical,low
0.93,5,169,5,0,1,0,management,low
0.29,2,151,5,0,1,0,marketing,low
0.47,4,121,2,0,1,0,marketing,low
0.45,2,194,3,0,1,0,marketing,low
1.0,7,236,4,0,1,0,sales,low
0.78,9,307,4,0,1,0,sales,low
0.45,2,188,3,0,1,0,sales,low
0.59,3,104,4,0,1,0,sales,low
0.6,3,123,2,0,1,0,sales,low
0.72,6,260,6,0,1,0,sales,low
0.42,2,188,3,0,1,0,sales,low
0.42,1,183,1,0,1,0,sales,low
0.41,2,140,3,0,1,0,sales,low
1.0,3,191,5,0,1,0,sales,low
0.89,6,334,3,0,1,0,sales,low
0.72,4,259,5,0,1,0,sales,low
1.0,5,197,5,0,1,0,sales,low
0.84,7,138,2,0,1,0,sales,low
1.0,4,263,5,0,1,0,sales,low
0.74,2,213,3,0,1,0,sales,low
0.39,1,221,2,0,1,0,sales,medium
0.96,6,233,3,1,1,0,sales,medium
0.46,3,156,3,0,1,0,sales,medium
0.93,6,238,5,1,1,0,accounting,medium
0.93,5,262,3,0,1,0,accounting,medium
0.35,1,76,2,0,1,0,accounting,medium
0.96,4,270,5,0,1,0,hr,medium
0.17,3,105,3,0,1,0,hr,medium
0.66,7,264,3,0,1,0,hr,medium
0.47,1,135,5,0,1,0,hr,medium
0.78,4,260,5,0,1,0,technical,medium
1.0,8,341,4,0,1,0,technical,medium
0.36,2,110,3,0,1,0,technical,high
0.51,3,140,4,0,1,0,technical,low
0.88,7,81,7,0,1,0,technical,medium
0.68,1,120,1,0,1,0,technical,medium
0.67,6,265,3,0,1,0,technical,medium
1.0,5,253,5,0,1,0,technical,medium
0.96,6,311,4,0,1,0,technical,low
0.78,7,248,5,0,1,0,technical,low
1.0,5,192,5,0,1,0,technical,low
0.99,3,278,4,1,1,0,support,low
0.82,4,222,8,0,1,0,support,low
0.79,4,258,4,0,1,0,support,low
0.76,4,213,3,1,1,0,support,low
0.99,6,245,3,0,1,0,support,low
0.64,3,307,3,0,1,0,support,low
1.0,4,259,5,0,1,0,support,low
0.78,7,349,4,1,1,0,support,low
0.73,3,172,4,0,1,0,support,low
0.33,1,167,3,0,1,0,support,low
0.81,5,300,4,0,1,0,support,low
0.86,6,221,2,0,1,1,technical,low
0.94,7,204,6,0,1,0,technical,low
0.41,3,114,3,0,1,0,technical,low
0.44,2,118,3,0,1,0,management,low
0.78,4,230,4,0,1,0,IT,low
0.42,3,169,3,0,1,0,IT,low
1.0,6,318,3,1,1,0,IT,low
0.97,5,294,3,0,1,0,IT,medium
0.43,1,135,2,0,1,0,IT,medium
0.66,2,165,3,0,1,0,product_mng,medium
0.56,1,159,3,0,1,0,product_mng,medium
0.58,2,145,2,0,1,0,product_mng,medium
0.92,3,294,4,0,1,0,product_mng,medium
0.45,2,179,3,0,1,0,IT,medium
0.93,1,232,5,0,1,0,RandD,medium
0.86,8,246,4,0,1,0,RandD,medium
0.62,2,127,3,0,1,0,RandD,medium
0.87,5,330,4,0,1,0,RandD,medium
0.48,2,123,4,0,1,0,RandD,medium
0.61,1,115,2,0,1,0,marketing,high
0.74,5,302,5,0,1,0,sales,low
0.55,3,162,4,0,1,0,accounting,medium
0.92,3,282,6,0,1,0,support,medium
0.9,7,297,3,0,1,0,technical,medium
1.0,7,333,3,0,1,0,management,medium
0.64,2,109,4,0,1,0,marketing,low
0.59,3,118,4,0,1,0,marketing,low
0.97,5,250,3,0,1,0,marketing,low
0.86,3,283,3,0,1,0,sales,low
0.55,1,145,3,0,1,0,sales,low
0.42,3,116,1,0,1,0,sales,low
0.98,6,242,3,0,1,0,sales,low
0.44,2,195,3,0,1,0,sales,low
0.55,2,191,3,1,1,0,sales,low
0.91,6,273,7,0,1,0,sales,low
0.37,2,253,3,0,1,0,sales,low
1.0,9,340,3,0,1,0,sales,low
0.33,2,92,4,0,1,0,sales,low
0.37,2,161,3,0,1,0,sales,low
0.66,2,142,3,0,1,0,sales,low
1.0,5,253,6,0,1,0,sales,low
0.92,5,291,4,0,1,0,sales,low
0.56,2,143,4,0,1,0,sales,low
0.57,3,125,5,0,1,0,sales,low
0.74,6,285,3,0,1,0,sales,low
0.99,5,202,4,0,1,0,sales,low
0.44,3,172,1,0,1,0,sales,medium
0.93,5,255,3,0,1,0,accounting,medium
0.45,1,216,4,0,1,0,accounting,medium
0.77,4,256,5,0,1,0,accounting,medium
0.47,1,186,2,0,1,0,hr,medium
0.55,2,79,3,0,1,0,hr,medium
0.84,6,272,5,0,1,0,hr,medium
0.79,7,343,4,0,1,0,hr,medium
0.5,3,187,5,0,1,0,technical,medium
1.0,4,179,6,0,1,0,technical,medium
0.5,3,118,4,0,1,0,technical,medium
0.46,3,175,3,0,1,0,technical,medium
0.89,6,283,6,0,1,0,technical,high
0.83,5,263,6,0,1,0,technical,low
0.63,6,269,4,0,1,0,technical,medium
0.75,8,318,5,0,1,0,technical,medium
0.43,1,240,2,0,1,0,technical,medium
0.84,5,308,5,0,1,0,technical,medium
1.0,3,235,7,0,1,0,technical,low
1.0,3,264,6,0,1,0,support,low
0.55,2,180,4,0,1,0,support,low
0.88,6,248,6,0,1,0,support,low
0.45,3,99,4,0,1,0,support,low
0.55,2,133,2,0,1,0,support,low
0.51,1,114,5,0,1,0,support,low
0.66,6,229,6,0,1,0,support,low
0.81,5,297,5,0,1,0,support,low
0.93,5,269,4,0,1,0,support,low
1.0,3,239,6,0,1,0,support,low
0.53,2,173,5,0,1,0,support,low
1.0,5,299,5,0,1,0,technical,low
0.58,3,169,4,1,1,0,technical,low
0.82,3,220,5,0,1,0,technical,low
0.86,6,269,2,0,1,0,management,low
0.56,4,135,2,0,1,0,IT,low
0.87,4,210,5,0,1,0,IT,low
0.73,6,234,5,0,1,0,IT,low
0.45,1,156,4,0,1,0,IT,low
0.57,1,142,4,0,1,0,IT,low
0.65,3,160,6,0,1,0,product_mng,medium
0.68,2,170,4,0,1,0,product_mng,medium
1.0,5,306,5,0,1,0,product_mng,medium
0.9,4,235,5,0,1,0,product_mng,medium
0.81,4,318,4,0,1,0,IT,medium
0.58,3,184,2,0,1,0,accounting,medium
0.82,5,227,3,0,1,0,accounting,medium
0.83,5,235,5,0,1,0,hr,medium
0.35,1,146,2,0,1,0,hr,medium
0.39,2,219,2,0,1,0,hr,medium
0.23,3,148,5,0,1,0,marketing,medium
0.45,1,175,2,0,1,0,sales,medium
0.39,1,147,3,0,1,0,accounting,high
0.92,6,239,4,0,1,0,support,low
0.97,7,252,6,0,1,0,technical,medium
1.0,5,285,4,0,1,0,management,medium
0.61,3,184,2,0,1,0,marketing,medium
0.5,2,143,3,1,1,0,marketing,medium
0.89,5,222,6,0,1,0,marketing,low
0.61,1,154,2,0,1,0,sales,low
0.84,5,244,5,0,1,0,sales,low
1.0,7,274,5,0,1,0,sales,low
0.7,2,89,3,0,1,0,sales,low
0.4,2,136,2,0,1,0,sales,low
0.36,1,147,3,0,1,0,sales,low
0.95,7,331,5,0,1,0,sales,low
0.82,4,260,6,0,1,0,sales,low
1.0,5,238,5,0,1,0,sales,low
0.81,4,197,6,0,1,0,sales,low
0.85,4,284,5,0,1,0,sales,low
1.0,6,306,5,0,1,0,sales,low
0.94,4,241,6,0,1,0,sales,low
0.82,7,199,4,0,1,0,sales,low
0.57,4,212,2,0,1,0,sales,low
0.86,5,222,5,0,1,0,sales,low
0.92,6,291,4,0,1,0,sales,low
0.93,4,256,5,0,1,0,sales,low
1.0,4,181,4,0,1,0,sales,low
0.54,7,232,4,0,1,0,accounting,low
0.86,4,233,6,0,1,0,accounting,medium
0.35,3,120,2,0,1,0,accounting,medium
0.69,2,176,4,0,1,0,hr,medium
1.0,5,260,2,0,1,0,hr,medium
0.39,1,193,4,0,1,0,hr,medium
1.0,5,228,6,0,1,0,hr,medium
0.91,5,295,5,0,1,0,technical,medium
0.67,3,179,2,0,1,0,technical,medium
0.86,4,214,5,0,1,0,technical,medium
1.0,6,257,3,0,1,0,technical,medium
1.0,7,288,6,0,1,0,technical,medium
0.97,5,212,5,0,1,0,technical,medium
0.58,3,135,2,0,1,0,technical,high
0.54,1,181,1,0,1,0,technical,low
0.67,2,98,2,0,1,0,technical,medium
0.8,3,215,6,0,1,0,technical,medium
0.68,3,136,5,0,1,0,technical,medium
0.58,2,219,3,0,1,0,support,medium
0.31,2,143,3,1,1,0,support,low
0.51,6,186,6,0,1,0,support,low
0.33,1,162,3,0,1,0,support,low
0.48,3,158,4,0,1,0,support,low
0.93,3,242,6,0,1,0,support,low
1.0,6,291,5,0,1,0,support,low
0.48,1,129,2,0,1,0,support,low
1.0,5,236,5,0,1,0,support,low
0.36,2,146,4,0,1,0,support,low
0.7,6,249,6,0,1,0,support,low
0.51,2,101,5,0,1,0,technical,low
0.53,3,230,1,0,1,0,technical,low
0.78,2,177,5,0,1,0,technical,low
0.75,5,185,5,0,1,0,management,low
0.97,6,158,5,0,1,0,IT,low
0.38,2,103,3,0,1,0,IT,low
1.0,5,307,5,0,1,0,IT,low
0.5,2,160,3,0,1,0,IT,low
0.73,5,294,5,0,1,0,IT,low
0.42,1,138,4,0,1,0,product_mng,low
0.79,6,207,5,0,1,0,product_mng,low
0.89,5,212,5,0,1,0,product_mng,medium
1.0,7,213,5,0,1,0,product_mng,medium
0.75,6,272,4,0,1,0,IT,medium
0.6,2,192,5,0,1,0,RandD,medium
0.91,8,227,3,1,1,0,RandD,medium
0.43,3,148,4,0,1,0,RandD,medium
0.92,6,250,6,0,1,0,RandD,medium
0.88,4,217,4,0,1,0,RandD,medium
0.41,2,107,3,0,1,0,marketing,medium
0.34,1,174,4,0,1,0,sales,medium
0.73,2,103,3,0,1,0,accounting,medium
0.5,1,135,4,0,1,0,support,medium
0.45,4,326,6,0,1,0,technical,high
0.88,5,307,4,0,1,0,management,low
0.97,6,237,4,0,1,0,marketing,medium
0.51,2,181,3,0,1,0,marketing,medium
0.55,3,132,2,0,1,0,marketing,medium
1.0,7,328,1,0,1,0,sales,medium
0.86,4,173,4,0,1,0,sales,low
0.45,1,154,5,0,1,0,sales,low
0.82,5,187,4,0,1,0,sales,low
0.25,2,155,3,0,1,0,sales,low
0.67,4,258,6,0,1,0,sales,low
0.72,3,197,3,0,1,0,sales,low
1.0,6,267,5,0,1,0,sales,low
0.54,1,116,4,0,1,0,sales,low
0.94,5,257,4,0,1,0,sales,low
0.83,6,288,4,0,1,0,sales,low
1.0,6,207,6,0,1,0,sales,low
1.0,8,276,4,0,1,0,sales,low
0.47,1,197,2,0,1,0,sales,low
0.68,6,245,2,0,1,0,sales,low
0.68,4,226,7,0,1,0,sales,low
0.56,1,132,3,1,1,0,sales,low
0.43,2,255,4,0,1,0,sales,low
0.78,5,193,2,0,1,0,sales,low
0.41,2,175,2,0,1,0,accounting,low
0.87,3,219,4,0,1,0,accounting,low
1.0,9,305,5,0,1,0,accounting,low
0.99,4,223,4,0,1,0,hr,medium
0.56,4,294,7,0,1,0,hr,medium
0.69,1,100,3,0,1,0,hr,medium
0.84,6,257,5,0,1,0,hr,medium
0.84,6,305,2,0,1,0,technical,medium
1.0,3,237,5,0,1,0,technical,medium
1.0,3,261,6,0,1,0,technical,medium
0.7,7,271,3,0,1,0,technical,medium
0.47,9,296,5,0,1,0,technical,medium
0.38,2,50,2,0,1,0,technical,medium
0.78,3,166,4,0,1,0,technical,medium
0.95,5,200,6,0,1,0,technical,medium
0.8,5,169,5,0,1,0,technical,high
0.7,8,271,6,0,1,0,technical,low
0.58,3,202,1,0,1,0,technical,medium
0.75,5,224,5,0,1,0,support,medium
0.91,5,272,7,0,1,0,support,medium
0.91,4,292,6,0,1,0,support,medium
0.44,2,147,2,0,1,0,support,low
0.56,2,141,3,0,1,0,support,low
0.47,2,169,2,0,1,0,support,low
0.51,3,202,4,0,1,0,support,low
0.84,3,194,3,0,1,0,support,low
0.93,7,279,4,0,1,0,support,low
0.78,6,389,4,0,1,0,support,low
0.89,4,249,4,0,1,0,support,low
1.0,5,193,6,1,1,0,technical,low
0.95,8,252,4,0,1,0,technical,low
0.74,7,362,2,0,1,0,technical,low
0.55,3,118,2,0,1,0,management,low
0.6,3,190,3,0,1,0,IT,low
0.74,4,224,4,0,1,0,IT,low
1.0,4,229,5,0,1,0,IT,low
0.87,6,295,4,0,1,0,IT,low
0.89,2,208,5,0,1,0,IT,low
0.9,4,199,5,0,1,0,product_mng,low
0.34,2,178,3,0,1,0,product_mng,low
0.25,3,194,4,1,1,0,product_mng,low
0.91,7,215,3,0,1,0,product_mng,low
0.83,6,307,4,0,1,0,IT,medium
0.46,1,141,4,0,1,0,accounting,medium
0.64,3,141,1,0,1,0,accounting,medium
0.34,3,120,3,1,1,0,hr,medium
0.83,7,201,4,0,1,0,hr,medium
0.36,3,190,1,0,1,0,hr,medium
0.77,4,281,5,1,1,0,marketing,medium
0.57,2,152,3,0,1,0,sales,medium
0.75,8,288,4,0,1,0,accounting,medium
0.4,3,133,3,1,1,0,support,medium
1.0,4,171,5,1,1,0,technical,medium
0.87,7,256,5,0,1,0,management,medium
0.64,2,156,4,0,1,0,marketing,high
0.73,3,259,4,0,1,0,marketing,low
0.97,3,233,4,0,1,0,marketing,medium
1.0,5,242,6,0,1,0,sales,medium
0.19,1,105,2,0,1,0,sales,medium
0.9,4,219,4,0,1,0,sales,medium
0.54,2,143,3,0,1,0,sales,low
0.48,2,165,4,0,1,0,sales,low
0.86,4,318,6,0,1,0,sales,low
0.4,1,130,3,0,1,0,sales,low
0.97,6,261,3,0,1,0,sales,low
0.97,3,255,4,0,1,0,sales,low
0.99,5,318,7,0,1,0,sales,low
1.0,3,224,6,0,1,0,sales,low
0.57,2,181,4,0,1,0,sales,low
0.85,8,328,4,0,1,0,sales,low
0.42,1,128,2,1,1,0,sales,low
0.52,3,133,2,0,1,0,sales,low
0.6,3,156,2,0,1,0,sales,low
0.75,4,308,5,0,1,0,sales,low
0.89,6,303,4,0,1,0,sales,low
0.78,1,203,4,0,1,0,sales,low
0.67,2,166,3,0,1,0,accounting,low
0.73,7,249,4,0,1,0,accounting,low
0.67,1,159,2,0,1,0,accounting,low
0.53,5,302,4,0,1,0,hr,low
0.55,7,354,3,0,1,0,hr,low
0.85,5,275,4,0,1,0,hr,medium
0.29,3,120,3,0,1,0,hr,medium
0.42,2,166,6,0,1,0,technical,medium
0.52,1,156,2,0,1,0,technical,medium
1.0,2,369,6,0,1,0,technical,medium
1.0,7,235,5,0,1,0,technical,medium
0.44,2,164,3,0,1,0,technical,medium
0.59,3,132,2,0,1,0,technical,medium
0.23,2,84,3,0,1,0,technical,medium
0.81,2,213,1,0,1,0,technical,medium
0.81,4,276,5,0,1,0,technical,medium
0.78,5,160,5,0,1,0,technical,medium
0.69,2,215,5,0,1,0,technical,high
0.55,1,160,1,0,1,0,support,low
0.83,5,245,5,0,1,0,support,medium
0.95,5,227,4,0,1,0,support,medium
0.83,2,159,1,0,1,0,support,medium
0.58,1,170,2,0,1,1,support,medium
0.54,1,153,3,0,1,0,support,low
0.51,3,189,3,0,1,0,support,low
0.73,2,256,3,0,1,0,support,low
1.0,6,328,4,0,1,0,support,low
0.44,1,126,1,0,1,0,support,low
0.56,1,128,3,0,1,0,support,low
0.61,1,268,3,0,1,0,technical,low
0.86,6,237,6,0,1,0,technical,low
0.58,1,110,3,0,1,0,technical,low
0.89,7,272,5,0,1,0,management,low
0.81,5,294,5,0,1,0,IT,low
0.81,7,267,6,0,1,0,IT,low
0.78,6,256,4,0,1,0,IT,low
0.41,1,173,3,0,1,0,IT,low
0.97,8,315,2,0,1,0,IT,low
1.0,4,260,6,0,1,0,product_mng,low
0.83,5,193,5,0,1,0,product_mng,low
0.94,6,217,5,0,1,0,product_mng,low
1.0,7,268,4,0,1,0,product_mng,low
0.84,7,263,4,0,1,0,IT,low
1.0,4,190,6,0,1,0,RandD,low
0.47,2,160,3,0,1,0,RandD,medium
0.73,5,301,4,0,1,0,RandD,medium
0.28,3,50,4,0,1,0,RandD,medium
1.0,7,269,4,0,1,0,RandD,medium
1.0,6,280,3,0,1,0,marketing,medium
0.52,1,63,2,0,1,0,sales,medium
0.5,2,131,3,1,1,0,accounting,medium
0.84,6,203,4,0,1,0,support,medium
1.0,7,261,4,0,1,0,technical,medium
0.9,6,253,5,0,1,0,management,medium
0.5,3,105,3,0,1,0,marketing,medium
1.0,4,209,5,0,1,0,marketing,medium
0.63,3,146,3,0,1,0,marketing,high
0.54,4,219,3,0,1,0,sales,low
0.66,3,294,1,0,1,0,sales,medium
0.92,7,282,6,0,1,0,sales,medium
0.78,1,275,3,0,1,0,sales,medium
0.68,2,122,4,0,1,0,sales,medium
0.69,2,151,2,0,1,0,sales,low
0.92,5,301,7,0,1,0,sales,low
0.37,4,174,3,0,1,0,sales,low
0.44,2,163,3,1,1,0,sales,low
0.86,6,262,6,0,1,0,sales,low
0.67,1,230,3,0,1,0,sales,low
0.7,7,315,4,0,1,0,sales,low
0.85,5,130,2,0,1,0,sales,low
0.87,6,257,6,0,1,0,sales,low
0.51,1,117,2,0,1,0,sales,low
0.8,5,307,4,0,1,0,sales,low
0.37,2,183,3,0,1,0,sales,low
0.63,3,143,1,0,1,0,sales,low
0.53,4,223,1,0,1,0,sales,low
0.68,4,249,7,0,1,0,accounting,low
0.32,1,138,5,0,1,0,accounting,low
0.48,1,160,2,0,1,0,accounting,low
1.0,4,242,6,0,1,0,hr,low
0.94,5,264,6,0,1,0,hr,low
0.29,2,100,3,0,1,0,hr,low
0.59,5,210,3,0,1,0,hr,low
0.51,2,193,4,0,1,0,technical,medium
0.51,5,308,5,0,1,0,technical,medium
0.49,1,200,4,0,1,0,technical,medium
0.51,2,207,1,0,1,0,technical,medium
